word,accent,gram,infltype,label,forms
переесть,5,"св@в:_буд._переЕм,-шь,-ст,-дИм,-дИте,-дЯт;_повел._переЕшь;_прош._переЕл,-а;_прич.страд._переЕденный$II(переедАть)",,,
подъесть,5,"св@в:_буд._подъЕм,-шь,-ст,-дИм,-дИте,-дЯт;_повел._подъЕшь;_прош._подъЕл,-а;_прич.страд._подъЕденный$II(подъедАть)",,,
поесть,3,"св@в:_буд._поЕм,-шь,-ст,-дИм,-дИте,-дЯт;_повел._поЕшь;_прош._поЕл,-а;_прич.страд._поЕденный",,,
проесть,4,"св@в:_буд._проЕм,-шь,-ст,-дИм,-дИте,-дЯт;_повел._проешь;_прош._проЕл,-а;_прич.страд._проЕденный$II(проедать)",,,
разъесть,5,"св@в:_буд._разъем,-шь,-ст,-дИм,-дИте,-дЯт;_повел._разъЕшь;_прош._разъЕл,-а;_прич.страд._разъЕденный$II(разъедАть)",,,
съесть,3,"св@в:_буд._съЕм,-шь,-ст,-дИм,-дИте,-дЯт;_повел._съЕшь;_прош._съЕл,-а;_прич.страд._съЕденный$II(съедАть)",,,
уесть,2,"св@в:_буд._уЕм,-шь,-ст,-дИм,-дИте,-дЯт;_повел._уЕшь;_прош._уЕл,-а;_прич.страд._уЕденный$II(уедАть)",,,
есть,1,"нсв@в:_наст._Ем,-шь,-ст,-дИм,-дИте,-дЯт;_повел._ешь;_прич.наст._едЯщий;_деепр._(_затрудн._)едЯ;_прош._Ел,-а;_прич.страд._Еденный",,,
взъесться,4,"св@в:_буд._взъемся,-шься,-стся,-дИмся,-дИтесь,-дЯтся;_повел._-шься;_прош._-лся,-лась$II(взъедАться)",,,
заесться,3,"св@в:_буд._заемся,-шься,-стся,-дИмся,-дИтесь,-дЯтся;_повел._-шься;_прош._-лся,-лась$II(заедАться)",,,
объесться,4,"св@в:_буд._объемся,-шься,-стся,-дИмся,-дИтесь,-дЯтся;_повел._-шься;_прош._-лся,-лась$II(объедАться)",,,
наесться,3,"св@в:_буд._наемся,-шься,-стся,-дИмся,-дИтесь,-дЯтся;_повел._-шься;_прош._-лся,-лась$II(наедАться)",,,
отъесться,4,"св@в:_буд._отъемся,-шься,-стся,-дИмся,-дИтесь,-дЯтся;_повел._-шься;_прош._-лся,-лась$II(отъедАться)",,,
проесться,4,"св@в:_буд._проемся,-шься,-стся,-димся,-дитесь,-дятся;_повел._-шься;_прош._-лся,-лась$II(проедаться)",,,
разъесться,5,"св@в:_буд._разъемся,-шься,-стся,-дИмся,-дИтесь,-дЯтся;_повел._-шься;_прош._-лся,-лась$II(разъедАться)",,,
въесться,3,"св@в:_буд._въемся,-шься,-стся,-дИмся,-дИтесь,-дЯтся;_повел._-шься;_прош._-лся,-лась$II(въедАться)",,,
приесться,4,"св@в:_буд._приемся,-шься,-стся,-димся,-дитесь,-дятся;_повел._-шься;_прош._-лся,-лась$II(приедаться)",,,
ехать,1,"нсвнп@а:_наст._Еду,-ет;_повел.нет_(_взнач.повел.употр._поезжАй[_такжепростореч._езжАй],_сотрицанием_неЕзди);_деепр.затрудн._;_прош._Ехал,-а",,,
взъехать,4,"свнп@а:_буд._взъЕду,-ет;_повел.нет_,#18;_прош._взъЕхал,-а$взъезжАть",,,
въехать,3,"свнп@а:_буд._въЕду,-ет;_повел.нет_,#18;_прош._въЕхал,-а$въезжАть",,,
выехать,2,"свнп@а:_буд._вЫеду,-ет;_повел.нет_,#18;_прош._вЫЕхал,-а$выезжАть",,,
доехать,3,"свнп@а:_буд._доЕду,-ет;_повел.нет_,#18;_прош._доЕхал,-а$доезжАть",,,
заехать,3,"свнп@а:_буд._заЕду,-ет;_повел.нет_,#18;_прош._заЕхал,-а$заезжАть",,,
наехать,3,"свнп@а:_буд._наЕду,-ет;_повел.нет_,#18;_прош._наЕхал,-а$наезжАть",,,
объехать,4,"св@а?:_буд._объЕду,-ет;_повел.нет_,#18;_прош._объЕхал,-а$объезжАть",,,
отъехать,4,"свнп@а:_буд._отъЕду,-ет;_повел.нет_,#18;_прош._отъЕхал,-а$отъезжАть",,,
переехать,5,"св@а?:_буд._переЕду,-ет;_повел.нет_,#18;_прош._переЕхал,-а$переезжАть",,,
подъехать,5,"свнп@а:_буд._подъЕду,-ет;_повел.нет_,#18;_прош._подъЕхал,-а$подъезжАть",,,
поехать,3,"свнп@а:_буд._поЕду,-ет;_повел.нет_(_взнач.повел.употр._поезжАй[_такжепростореч._езжАй],_сотрицанием_неЕзди);_прош._поЕхал,-а",,,
понаехать,5,"свнп@а:_буд._понаЕду,-ет;_повел.нет_;_прош._понаЕхал,-а",,,
